date,year,month,month_name,day,precipitation_mm,station,latitude,longitude,source
2015-03-20,2015,3,Mar,20,0.4,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-21,2015,3,Mar,21,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-22,2015,3,Mar,22,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-23,2015,3,Mar,23,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-24,2015,3,Mar,24,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-25,2015,3,Mar,25,0.6,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-26,2015,3,Mar,26,0.2,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-27,2015,3,Mar,27,23.9,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-28,2015,3,Mar,28,24.3,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-29,2015,3,Mar,29,10.3,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-30,2015,3,Mar,30,3.7,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-31,2015,3,Mar,31,8.3,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-04-01,2015,4,Apr,1,41.9,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-04-02,2015,4,Apr,2,11.3,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-04-03,2015,4,Apr,3,9.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-04-04,2015,4,Apr,4,2.2,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-04-05,2015,4,Apr,5,0.6,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-04-06,2015,4,Apr,6,2.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-04-07,2015,4,Apr,7,26.7,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-04-08,2015,4,Apr,8,8.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-04-09,2015,4,Apr,9,4.2,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-04-10,2015,4,Apr,10,2.3,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-04-11,2015,4,Apr,11,2.5,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-04-12,2015,4,Apr,12,4.5,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-04-13,2015,4,Apr,13,5.7,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-04-14,2015,4,Apr,14,1.9,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-04-15,2015,4,Apr,15,7.6,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-04-16,2015,4,Apr,16,4.1,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-04-17,2015,4,Apr,17,5.5,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-04-18,2015,4,Apr,18,2.9,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-04-19,2015,4,Apr,19,4.8,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-04-20,2015,4,Apr,20,30.5,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-04-21,2015,4,Apr,21,44.7,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-04-22,2015,4,Apr,22,0.1,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-04-23,2015,4,Apr,23,3.2,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-04-24,2015,4,Apr,24,3.7,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-04-25,2015,4,Apr,25,8.4,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-04-26,2015,4,Apr,26,4.9,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-04-27,2015,4,Apr,27,4.1,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-04-28,2015,4,Apr,28,5.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-04-29,2015,4,Apr,29,7.6,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-04-30,2015,4,Apr,30,5.2,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-05-01,2015,5,May,1,5.4,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-05-02,2015,5,May,2,1.3,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-05-03,2015,5,May,3,4.3,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-05-04,2015,5,May,4,5.3,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-05-05,2015,5,May,5,5.6,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-05-06,2015,5,May,6,6.4,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-05-07,2015,5,May,7,4.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
